Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,62.574,-4.57,0.0,bottom
BOOT2,56.783,-4.572,180.0,bottom
BT1,30.404,-21.573,0.0,bottom
C1,47.053,-9.626,90.0,bottom
C10,63.963,-24.805,180.0,bottom
C11,71.516,-29.436,90.0,bottom
C12,60.574,-29.415,270.0,bottom
C13,62.092,-29.412,270.0,bottom
C14,63.623,-29.408,270.0,bottom
C15,69.97,-29.437,270.0,bottom
C16,54.745,-28.011,270.0,bottom
C17,68.414,-29.421,90.0,bottom
C18,88.467,-43.64,270.0,bottom
C2,59.671001,-16.086499,0.0,bottom
C3,59.690001,-14.498499,0.0,bottom
C4,39.674,-45.987,0.0,bottom
C5,34.252,-41.4635,90.0,bottom
C6,93.971848,-14.215,270.0,bottom
C7,93.971849,-11.176,90.0,bottom
C8,57.054,-27.423,0.0,bottom
C9,57.054,-25.865,0.0,bottom
D1,56.32,-13.4195,270.0,bottom
D2,68.058,-24.813,0.0,bottom
D3,57.005,-19.298,0.0,bottom
D4,66.489,-28.647,270.0,bottom
D7,37.1525,-35.68,180.0,bottom
IC1,59.781001,-11.675499,90.0,bottom
IC2,38.25,-43.29,0.0,bottom
J1,81.554,-85.899,0.0,bottom
J2,26.962,-39.967,180.0,bottom
J3,52.5,-45.0,0.0,top
L1,57.83,-22.81,0.0,bottom
LED1,68.272,-4.7,180.0,bottom
LED2,42.844,-42.002,90.0,bottom
Q1,52.751,-28.087,0.0,bottom
R1,84.452,-79.174,0.0,bottom
R10,94.877,-41.978,270.0,bottom
R11,88.476,-40.569,90.0,bottom
R12,95.531848,-12.72,270.0,bottom
R13,71.512,-26.387,270.0,bottom
R14,95.027849,-27.341,0.0,bottom
R15,95.033848,-25.803,0.0,bottom
R16,64.933,-22.245,270.0,bottom
R17,49.757,-28.569,180.0,bottom
R2,78.989,-79.174,180.0,bottom
R3,53.511,-16.439,270.0,bottom
R4,69.082,-9.287,90.0,bottom
R5,48.595,-9.643,90.0,bottom
R6,42.799,-45.116,270.0,bottom
R7,34.253,-45.247,270.0,bottom
R8,36.592,-45.993,180.0,bottom
SW1,37.5,-2.425,180.0,bottom
U1,52.526501,-13.028499,0.0,bottom
U2,37.0255,-39.444,270.0,bottom
U3,97.800849,-12.772,0.0,bottom
U4,82.565,-18.938,0.0,bottom
U5,62.1275,-22.262,180.0,bottom
U6,91.568,-42.126,0.0,bottom
